summary,value
total_data_rows,96
already_has_branch_code,1
filled_branch_code,93
blank_branch_name_rows_skipped,2
ambiguous_rows,0
unmatched_rows,0

filled_rows
csv_row_number,main_branch_code,branch_name,filled_cost_center,match_method,matched_costcenter_name
49,301,หนองโพ (บ้านโป่ง),2001409,main_branch_code + branch_name,หนองโพ (บ้านโป่ง) | หนองโพ (บ้านโป่ง)
50,306,(ย่อย 8) ชัยพฤกษ์,2001291,main_branch_code + branch_name,(ย่อย 5) ชัยพฤกษ์ | ย่อย ชัยพฤกษ์
51,316,(ศ.4) ศูนย์ฯ บ้านพนมไพร,2005962,main_branch_code + branch_name,(ศ.8) ศูนย์ฯ บ้านพนมไพร (ย.3) | ศูนย์ฯ บ้านพนมไพร
52,179,(ศ.2) ศูนย์ฯ บ้านดงใหญ่,2003782,main_branch_code + branch_name,(ศ.4) ศูนย์ฯ บ้านดงใหญ่ (ย.2) | ศูนย์ฯ บ้านดงใหญ่
53,39,(ศ.16) ศูนย์ฯ บ้านจอมศรี,2008783,main_branch_code + branch_name,(ศ.10) ศูนย์ฯ บ้านจอมศรี (ย.6) | ศูนย์ฯ บ้านจอมศรี
54,143,(ย่อย 5) ถนนพิชัย กรุงเทพฯ,2002454,main_branch_code + branch_name,(ย่อย 6) ถนนพิชัย กรุงเทพฯ | ย่อย ถนนพิชัย กรุงเทพฯ
55,171,(ย่อย 1) วังสามหมอ,2000572,main_branch_code + branch_name,(ย่อย 1) วังสามหมอ | ย่อย วังสามหมอ
56,158,ชะอำ,2001929,main_branch_code + branch_name,ชะอำ | ชะอำ
57,348,(ศ.5) ศูนย์ฯ หาดไม้ขาว,2005105,main_branch_code + branch_name,(ศ.5) ศูนย์ฯ หาดไม้ขาว (ย.4) | ศูนย์ฯ หาดไม้ขาว
58,319,(ศ.1) ศูนย์ฯ ถนนรามอินทรา ซอย 58 กรุงเทพฯ,2006069,main_branch_code + branch_name,(ศ.3) ศูนย์ฯ ถนนรามอินทรา ซอย 58 กรุงเทพฯ (ย.2) | ศูนย์ฯ ถนนรามอินทรา ซอย 58 กรุงเทพฯ
59,379,(ย่อย 5) ดงอีจาน,2003592,main_branch_code + branch_name,(ย่อย 15) ดงอีจาน | ย่อย ดงอีจาน
60,50,(ย่อย 9) บ้านหนองขอน,2005583,main_branch_code + branch_name,(ย่อย 4) บ้านหนองขอน | ย่อย บ้านหนองขอน
61,316,(ศ.10) ศูนย์ฯ บ้านหนองแข้,2008841,main_branch_code + branch_name,(ศ.1) ศูนย์ฯ บ้านหนองแข้ (ย.9) | ศูนย์ฯ บ้านหนองแข้
62,337,(ย่อย 4) หางดง,2000045,main_branch_code + branch_name,(ย่อย 7) หางดง | ย่อย หางดง
63,9,(ย่อย 5) คลองแม่ลาย,2000687,main_branch_code + branch_name,(ย่อย 7) คลองแม่ลาย | ย่อย คลองแม่ลาย
